Ticket,Ticket Name,Company Description,Currency,Price Today,Price Today (USD),Today's Price Date,52W Low Price,52W Low Date,Return (90D) %,Price Peak (5Y),Date Peak (5Y),Bottom Price After Peak (5Y),Bottom Date After Peak (5Y),Drawdown From Peak (5Y) %,Avg Volume (30D),Volatility (90D),Hit +30% From Bottom Date,Days Bottom → Hit30,Hit +30% From 52W Low Date,Days 52W Low → Hit30,180D Low Price,180D Low Date,Spike +30% Date,Spike +30% In Last 30D
NGENF,NGENF,Business description unavailable.,USD,5.1,5.1,2025-12-30,1.81,2025-03-24,102.1,5.41,2025-12-26,,,,146420,0.0574,,,2025-05-02,39.0,1.99,2025-08-20,2025-08-25,True
EDN,EDN,Business description unavailable.,USD,30.1,30.1,2025-12-30,15.01,2025-10-01,100.5,49.23,2024-12-13,15.01,2025-10-01,69.5,115113,0.062,2025-10-13,12.0,2025-10-13,12.0,15.01,2025-10-01,2025-10-13,True
PASTF,PASTF,Business description unavailable.,USD,18.9,18.9,2025-12-30,9.14,2024-12-27,98.9,32.93,2022-04-28,8.66,2024-09-10,73.7,106,0.0821,2025-12-04,450.0,2025-12-04,342.0,9.14,2025-04-14,2025-12-04,True
SNDK,SNDK,Business description unavailable.,USD,240.22,240.22,2025-12-30,29.62,2025-04-22,98.3,283.1,2025-11-12,194.38,2025-12-03,31.3,11542776,0.0738,,,2025-05-12,20.0,29.62,2025-04-22,2025-05-12,True
SGML,SGML,Business description unavailable.,USD,13.49,13.49,2025-12-30,4.28,2025-06-25,97.5,42.4,2023-05-17,4.28,2025-06-25,89.9,7802783,0.0866,2025-07-08,13.0,2025-07-08,13.0,4.28,2025-06-25,2025-07-08,True
IVEVF,IVEVF,Business description unavailable.,USD,4.44,4.44,2025-12-30,2.28,2025-02-12,94.7,13.64,2021-12-03,2.28,2025-02-12,83.3,0,0.0894,2025-10-15,245.0,2025-10-15,245.0,2.28,2025-04-14,2025-10-15,True
SYRE,SYRE,Business description unavailable.,USD,31.88,31.88,2025-12-30,11.8,2025-04-08,93.7,214.25,2021-03-22,2.65,2023-06-21,98.8,793560,0.0457,2023-06-22,1.0,2025-05-20,42.0,12.42,2025-04-16,2025-06-03,True
APGE,APGE,Business description unavailable.,USD,75.76,75.76,2025-12-30,28.79,2025-04-08,92.4,78.54,2025-12-19,75.76,2025-12-30,3.5,878916,0.0371,,,2025-04-28,20.0,32.04,2025-04-16,2025-06-10,True
ARWR,ARWR,Business description unavailable.,USD,67.25,67.25,2025-12-30,9.99,2025-04-08,92.1,90.47,2021-02-05,9.99,2025-04-08,89.0,2968036,0.0469,2025-04-23,15.0,2025-04-23,15.0,11.24,2025-04-17,2025-05-13,True
OWLT,OWLT,Business description unavailable.,USD,16.03,16.03,2025-12-30,2.8,2025-04-04,91.5,150.78,2021-02-05,2.8,2025-04-04,98.1,326423,0.0523,2025-04-25,21.0,2025-04-25,21.0,3.23,2025-04-21,2025-05-09,True
LYEL,LYEL,Business description unavailable.,USD,31.59,31.59,2025-12-30,7.8,2025-05-14,90.9,359.0,2021-09-10,7.8,2025-05-14,97.8,90186,0.0586,2025-06-04,21.0,2025-06-04,21.0,7.8,2025-05-14,2025-06-04,True
DBVT,DBVT,Business description unavailable.,USD,19.21,19.21,2025-12-30,3.09,2024-12-31,90.8,22.76,2025-12-19,18.92,2025-12-23,16.9,595530,0.063,,,2025-01-10,10.0,7.35,2025-04-15,2025-05-08,True
